templates/koran.html
Chapter|Verse|Book|Sentence
1|1|al-Fatihah: The Opening|In the name of Allah, the Beneficent, the Merciful. 
1|2|al-Fatihah: The Opening|Praise be to Allah, Lord of the Worlds, 
1|3|al-Fatihah: The Opening|The Beneficent, the Merciful. 
1|4|al-Fatihah: The Opening|Master of the Day of Judgment, 
1|5|al-Fatihah: The Opening|Thee (alone) we worship; Thee (alone) we ask for help. 
1|6|al-Fatihah: The Opening|Show us the straight path, 
1|7|al-Fatihah: The Opening|The path of those whom Thou hast favoured; Not the (path) of those who  earn Thine anger nor of those who go astray. 
2|1|al-Baqarah: The Cow|Alif. Lam. Mim. 
2|2|al-Baqarah: The Cow|This is the Scripture whereof there is no doubt, a guidance unto those who  ward off (evil). 
2|3|al-Baqarah: The Cow|Who believe in the Unseen, and establish worship, and spend of that We  have bestowed upon them; 
2|4|al-Baqarah: The Cow|And who believe in that which is revealed unto thee (Muhammad) and that  which was revealed before thee, and are certain of the Hereafter. 
2|5|al-Baqarah: The Cow|These depend on guidance from their Lord. These are the successful. 
2|6|al-Baqarah: The Cow|As for the Disbelievers, Whether thou warn them or thou warn them not it is  all one for them; they believe not. 
2|7|al-Baqarah: The Cow|Allah hath sealed their hearing and their hearts, and on their eyes there is a  covering. Theirs will be an awful doom. 
2|8|al-Baqarah: The Cow|And of mankind are some who say: We believe in Allah and the Last Day,  when they believe not. 
2|9|al-Baqarah: The Cow|They think to beguile Allah and those who believe, and they beguile none  save themselves; but they perceive not. 
2|10|al-Baqarah: The Cow|In their hearts is a disease, and Allah increaseth their disease. A painful  doom is theirs because they lie. 
2|11|al-Baqarah: The Cow|And when it is said unto them: Make not mischief in the earth, they say: We  are peacemakers only. 
2|12|al-Baqarah: The Cow|Are not they indeed the mischief-makers ? But they perceive not. 
2|13|al-Baqarah: The Cow|And when it is said unto them: believe as the people believe, they say: shall  we believe as the foolish believe ? are not they indeed the foolish ? But they know  not. 
2|14|al-Baqarah: The Cow|And when they fall in with those who believe, they say: We believe; but  when they go apart to their devils they declare: Lo! we are with you; verily we did but  mock. 
2|15|al-Baqarah: The Cow|Allah (Himself) doth mock them, leaving them to wander blindly on in their  contumacy. 
2|16|al-Baqarah: The Cow|These are they who purchase error at the price of guidance, so their  commerce doth not prosper, neither are they guided. 
2|17|al-Baqarah: The Cow|Their likeness is as the likeness of one who kindleth fire, and when it  sheddeth its light around him Allah taketh away their light and leaveth them in  darkness, where they cannot see, 
2|18|al-Baqarah: The Cow|Deaf, dumb and blind; and they return not. 
2|19|al-Baqarah: The Cow|Or like a rainstorm from the sky, wherein is darkness, thunder and the flash  of lightning. They thrust their fingers in their ears by reason of the thunder-claps, for  fear of death, Allah encompasseth the disbelievers (in His guidance, His omniscience  and His omnipotence). 
2|20|al-Baqarah: The Cow|The lightning almost snatcheth away their sight from them. As often as it  flasheth forth for them they walk therein, and when it darkeneth against them they  stand still. If Allah willed, He could destroy their hearing and their sight. Lo! Allah is  able to do all things. 
2|21|al-Baqarah: The Cow|O mankind! worship your Lord, Who hath created you and those before you,  so that ye may ward off (evil). 
2|22|al-Baqarah: The Cow|Who hath appointed the earth a resting-place for you, and the sky a canopy;  and causeth water to pour down from the sky, thereby producing fruits as food for  you. And do not set up rivals to Allah when ye know (better). 
